#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Nothobranchius furzeri	105023	PRJEB5837	304522	Animals	Fishes	1242.52	44.8104	GCA_001465895.2	chromosome sgr01:NC_029649.1/LN609383.1; chromosome sgr02:NC_029650.1/LN609382.1; chromosome sgr03:NC_029651.1/LN609391.1; chromosome sgr04:NC_029652.1/LN609393.1; chromosome sgr05:NC_029653.1/LN609377.1; chromosome sgr06:NC_029654.1/LN609381.1; chromosome sgr07:NC_029655.1/LN609387.1; chromosome sgr08:NC_029656.1/LN609384.1; chromosome sgr09:NC_029657.1/LN609379.1; chromosome sgr10:NC_029658.1/LN609385.1; chromosome sgr11:NC_029659.1/LN609378.1; chromosome sgr12:NC_029660.1/LN609394.1; chromosome sgr13:NC_029661.1/LN609389.1; chromosome sgr14:NC_029662.1/LN609392.1; chromosome sgr15:NC_029663.1/LN609388.1; chromosome sgr16:NC_029664.1/LN609380.1; chromosome sgr17:NC_029665.1/LN609395.1; chromosome sgr18:NC_029666.1/LN609386.1; chromosome sgr19:NC_029667.1/LN609390.1; mitochondrion MT:NC_011814.1/EU650204.1	CCSH01	6013	25026	36873	2015/12/01	2016/02/02	Chromosome	LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN	SAMEA2698544
Ochotona princeps	9978	PRJNA74593	74593	Animals	Mammals	2229.84	44	GCA_000292845.1	mitochondrion MT:NC_005358.1/AJ537415.1	ALIT01	10421	21374	25691	2012/08/13	2013/11/01	Scaffold	Broad Institute	SAMN00767999
Oncorhynchus mykiss	8022	PRJNA390662	390662	Animals	Fishes	2179	43.4875	GCA_002163495.1	chromosome 1:NC_035077.1/CM007935.1; chromosome 2:NC_035078.1/CM007936.1; chromosome 3:NC_035079.1/CM007937.1; chromosome 4:NC_035080.1/CM007938.1; chromosome 5:NC_035081.1/CM007939.1; chromosome 6:NC_035082.1/CM007940.1; chromosome 7:NC_035083.1/CM007941.1; chromosome 8:NC_035084.1/CM007942.1; chromosome 9:NC_035085.1/CM007943.1; chromosome 10:NC_035086.1/CM007944.1; chromosome 11:NC_035087.1/CM007945.1; chromosome 12:NC_035088.1/CM007946.1; chromosome 13:NC_035089.1/CM007947.1; chromosome 14:NC_035090.1/CM007948.1; chromosome 15:NC_035091.1/CM007949.1; chromosome 16:NC_035092.1/CM007950.1; chromosome 17:NC_035093.1/CM007951.1; chromosome 18:NC_035094.1/CM007952.1; chromosome 19:NC_035095.1/CM007953.1; chromosome 20:NC_035096.1/CM007954.1; chromosome 21:NC_035097.1/CM007955.1; chromosome 22:NC_035098.1/CM007956.1; chromosome 23:NC_035099.1/CM007957.1; chromosome 24:NC_035100.1/CM007958.1; chromosome 25:NC_035101.1/CM007959.1; chromosome 26:NC_035102.1/CM007960.1; chromosome 27:NC_035103.1/CM007961.1; chromosome 28:NC_035104.1/CM007962.1; chromosome 29:NC_035105.1/CM007963.1; mitochondrion MT:NC_001717.1/L29771.1	MSJN01	139800	51001	71266	2017/05/31	2017/06/02	Chromosome	NCBI	SAMN05449231
Oreochromis niloticus	8128	PRJNA354796	354796	Animals	Fishes	1009.86	40.7671	GCA_001858045.2	linkage group LG1:NC_031965.1/CM007481.1; linkage group LG2:NC_031966.1/CM007482.1; linkage group LG3a:NC_031967.1/CM007483.1; linkage group LG3b:NC_031968.1/CM007484.1; linkage group LG4:NC_031969.1/CM007485.1; linkage group LG5:NC_031970.1/CM007486.1; linkage group LG6:NC_031971.1/CM007487.1; linkage group LG7:NC_031972.1/CM007488.1; linkage group LG8:NC_031973.1/CM007489.1; linkage group LG9:NC_031974.1/CM007490.1; linkage group LG10:NC_031975.1/CM007491.1; linkage group LG11:NC_031976.1/CM007492.1; linkage group LG12:NC_031977.1/CM007493.1; linkage group LG13:NC_031978.1/CM007494.1; linkage group LG14:NC_031979.1/CM007495.1; linkage group LG15:NC_031980.1/CM007496.1; linkage group LG16:NC_031987.1/CM007497.1; linkage group LG17:NC_031981.1/CM007498.1; linkage group LG18:NC_031982.1/CM007499.1; linkage group LG19:NC_031983.1/CM007500.1; linkage group LG20:NC_031984.1/CM007501.1; linkage group LG22:NC_031985.1/CM007502.1; linkage group LG23:NC_031986.1/CM007503.1; mitochondrion MT:NC_013663.1/GU238433.1	MKQE01	2567	37427	58088	2016/10/31	2016/11/21	Chromosome	NCBI	SAMN05859795
Ornithorhynchus anatinus	9258	PRJNA12885	12885	Animals	Mammals	1995.61	45.6584	GCF_000002275.2	chromosome 1:NC_009094.1/; chromosome 2:NC_009095.1/; chromosome 3:NC_009096.1/; chromosome 4:NC_009097.1/; chromosome 5:NC_009098.1/; chromosome 6:NC_009099.1/; chromosome 7:NC_009100.1/; chromosome 10:NC_009103.1/; chromosome 11:NC_009104.1/; chromosome 12:NC_009105.1/; chromosome 14:NC_009107.1/; chromosome 15:NC_009108.1/; chromosome 17:NC_009110.1/; chromosome 18:NC_009111.1/; chromosome 20:NC_009112.1/; chromosome X1:NC_009114.1/; chromosome X2:NC_009115.1/; chromosome X3:NC_009116.1/; chromosome X5:NC_009118.1/; mitochondrion MT:NC_000891.1/X83427.1	AAPN01	200283	22225	24786	2006/04/10	2014/08/06	Chromosome	Washington University (WashU)	SAMN02953646
Oryzias latipes	8090	PRJNA325079	325079	Animals	Fishes	734.057	40.8475	GCA_002234675.1	chromosome 1:NC_019859.2/CP020665.1; chromosome 2:NC_019860.2/CP020666.1; chromosome 3:NC_019861.2/CP020667.1; chromosome 4:NC_019862.2/CP020668.1; chromosome 5:NC_019863.2/CP020669.1; chromosome 6:NC_019864.2/CP020670.1; chromosome 7:NC_019865.2/CP020671.1; chromosome 8:NC_019866.2/CP020672.1; chromosome 9:NC_019867.2/CP020673.1; chromosome 10:NC_019868.2/CP020674.1; chromosome 11:NC_019869.2/CP020675.1; chromosome 12:NC_019870.2/CP020676.1; chromosome 13:NC_019871.2/CP020677.1; chromosome 14:NC_019872.2/CP020678.1; chromosome 15:NC_019873.2/CP020679.1; chromosome 16:NC_019874.2/CP020680.1; chromosome 17:NC_019875.2/CP020681.1; chromosome 18:NC_019876.2/CP020682.1; chromosome 19:NC_019877.2/CP020683.1; chromosome 20:NC_019878.2/CP020684.1; chromosome 21:NC_019879.2/CP020685.1; chromosome 22:NC_019880.2/CP020686.1; chromosome 23:NC_019881.2/CP020687.1; chromosome 24:NC_019882.2/CP020688.1; mitochondrion MT:NC_004387.1/AP004421.1	-	25	26846	44766	2012/12/22	2018/02/15	Chromosome	The University of Tokyo	SAMN06689957
Ovis aries	9940	PRJNA179263	179263	Animals	Mammals	2615.52	41.9795	GCA_000298735.2	chromosome 1:NC_019458.2/CM001582.2; chromosome 2:NC_019459.2/CM001583.2; chromosome 3:NC_019460.2/CM001584.2; chromosome 4:NC_019461.2/CM001585.2; chromosome 5:NC_019462.2/CM001586.2; chromosome 6:NC_019463.2/CM001587.2; chromosome 7:NC_019464.2/CM001588.2; chromosome 8:NC_019465.2/CM001589.2; chromosome 9:NC_019466.2/CM001590.2; chromosome 10:NC_019467.2/CM001591.2; chromosome 11:NC_019468.2/CM001592.2; chromosome 12:NC_019469.2/CM001593.2; chromosome 13:NC_019470.2/CM001594.2; chromosome 14:NC_019471.2/CM001595.2; chromosome 15:NC_019472.2/CM001596.2; chromosome 16:NC_019473.2/CM001597.2; chromosome 17:NC_019474.2/CM001598.2; chromosome 18:NC_019475.2/CM001599.2; chromosome 19:NC_019476.2/CM001600.2; chromosome 20:NC_019477.2/CM001601.2; chromosome 21:NC_019478.2/CM001602.2; chromosome 22:NC_019479.2/CM001603.2; chromosome 23:NC_019480.2/CM001604.2; chromosome 24:NC_019481.2/CM001605.2; chromosome 25:NC_019482.2/CM001606.2; chromosome 26:NC_019483.2/CM001607.2; chromosome X:NC_019484.2/CM001608.2; mitochondrion MT:NC_001941.1/AF010406.1	AMGL02	5466	29110	43046	2012/09/21	2015/11/20	Chromosome	NCBI	SAMN00116405
Paralichthys olivaceus	8255	PRJNA369269	369269	Animals	Fishes	643.911	43.2001	GCA_001970005.2	mitochondrion MT:NC_002386.1/AB028664.1	MPLB01	9525	24567	36123	2017/01/24	2017/01/24	Scaffold	NCBI	SAMN05817825
Petromyzon marinus	7757	PRJNA357048	357048	Animals	Fishes	1130.42	-	GCA_002833325.1	-	PIZI01	12061	-	-	2017/12/11	2017/12/11	Scaffold	University of Kentucky	SAMN06131802
Pongo abelii	9601	PRJNA20869	20869	Animals	Mammals	3441.24	41.4979	GCA_000001545.3	chromosome 1:CM000550.1; chromosome 2A:CM000551.1; chromosome 2B:CM000552.1; chromosome 3:CM000553.1; chromosome 4:CM000554.1; chromosome 5:CM000555.1; chromosome 6:CM000556.1; chromosome 7:CM000557.1; chromosome 8:CM000558.1; chromosome 9:CM000559.1; chromosome 10:CM000560.1; chromosome 11:CM000561.1; chromosome 12:CM000562.1; chromosome 13:CM000563.1; chromosome 14:CM000564.1; chromosome 15:CM000565.1; chromosome 16:CM000566.1; chromosome 17:CM000567.1; chromosome 18:CM000568.1; chromosome 19:CM000569.1; chromosome 20:CM000570.1; chromosome 21:CM000571.1; chromosome 22:CM000572.1; chromosome X:CM000573.1	ABGA01	79345	-	-	2007/11/14	2014/08/11	Chromosome	Orangutan Genome Sequencing Consortium	SAMN02981238
Rattus norvegicus	10116	PRJNA10629	10629	Animals	Mammals	2870.18	42.3282	GCA_000001895.4	chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1	AABR07	1395	39365	56113	2002/11/27	2014/07/01	Chromosome	Rat Genome Sequencing Consortium	SAMN02808228
Sarcophilus harrisii	9305	PRJNA51853	51853	Animals	Mammals	3174.69	37	GCA_000189315.1	-	AEFK01	35974	23887	30037	2011/02/09	2014/08/06	Scaffold	Wellcome Trust Sanger Institute	SAMN02953780
Scleropages formosus	113540	PRJNA347920	347920	Animals	Fishes	777.359	44	GCA_001624265.1	mitochondrion MT:NC_007012.1/DQ023143.1	LGSG01	4819	24709	41445	2016/04/19	2016/11/08	Scaffold	NCBI	SAMN03894411
Sus scrofa	9823	PRJNA13421	13421	Animals	Mammals	2501.91	41.971	GCA_000003025.6	chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/AF034253.1	AEMK02	706	30173	63577	2008/07/11	2016/12/06	Chromosome	The Swine Genome Sequencing Consortium (SGSC)	SAMN02953785
Taeniopygia guttata	59729	PRJNA17289	17289	Animals	Birds	1232.14	41.4526	GCA_000151805.2	chromosome 1:NC_011462.1/CM000515.1; chromosome 1A:NC_011463.1/CM000516.1; chromosome 1B:NC_011464.1/CM000517.1; chromosome 2:NC_011465.1/CM000518.1; chromosome 3:NC_011466.1/CM000519.1; chromosome 4:NC_011467.1/CM000520.1; chromosome 4A:NC_011468.1/CM000521.1; chromosome 5:NC_011469.1/CM000522.1; chromosome 6:NC_011470.1/CM000523.1; chromosome 7:NC_011471.1/CM000524.1; chromosome 8:NC_011472.1/CM000525.1; chromosome 9:NC_011473.1/CM000526.1; chromosome 10:NC_011474.1/CM000527.1; chromosome 11:NC_011475.1/CM000528.1; chromosome 12:NC_011476.1/CM000529.1; chromosome 13:NC_011477.1/CM000530.1; chromosome 14:NC_011478.1/CM000531.1; chromosome 15:NC_011479.1/CM000532.1; chromosome 16:NC_011480.1/CM000533.1; chromosome 17:NC_011481.1/CM000534.1; chromosome 18:NC_011482.1/CM000535.1; chromosome 19:NC_011483.1/CM000536.1; chromosome 20:NC_011484.1/CM000537.1; chromosome 21:NC_011485.1/CM000538.1; chromosome 22:NC_011486.1/CM000539.1; chromosome 23:NC_011487.1/CM000540.1; chromosome 24:NC_011488.1/CM000541.1; chromosome 25:NC_011489.1/CM000542.1; chromosome 26:NC_011490.1/CM000543.1; chromosome 27:NC_011491.1/CM000544.1; chromosome 28:NC_011492.1/CM000545.1; chromosome LGE22:NC_011496.1/CM000549.1; chromosome LG2:NC_011494.1/CM000547.1; chromosome LG5:NC_011495.1/CM000548.1; chromosome Z:NC_011493.1/CM000546.1; mitochondrion MT:NC_007897.1/DQ422742.1	ABQF01	37422	17357	19447	2008/09/03	2014/08/11	Chromosome	Washington University Genome Sequencing Center	SAMN02981239
Tursiops truncatus	9739	PRJNA359990	359990	Animals	Mammals	2132.52	40.9	GCA_001922835.1	mitochondrion MT:NC_012059.1/EU557093.1	MRVK01	2648	23994	38849	2016/12/28	2016/12/28	Scaffold	NCBI	SAMN06114300
Xiphophorus maculatus	8083	PRJNA72525	72525	Animals	Fishes	729.664	39.8	GCA_000241075.1	-	AGAJ01	20632	-	-	2012/01/03	2014/08/11	Scaffold	The Genome Institute,  Washington University at St. Louis	SAMN02981361
Zonotrichia albicollis	44394	PRJNA217032	217032	Animals	Birds	1052.6	41.8	GCA_000385455.1	-	ARWJ01	6018	15943	23892	2013/04/26	2014/08/11	Scaffold	NCBI	SAMN02981528
Physeter catodon	9755	PRJNA434122	434122	Animals	Mammals	2517.76	41.5	GCA_002837175.1	mitochondrion MT:NC_002503.2/AJ277029.2	PGGR01	59238	26942	38099	2017/12/12	2017/12/12	Scaffold	NCBI	SAMN07836523
Ficedula albicollis	59894	PRJNA208061	208061	Animals	Birds	1118.34	44.2999	GCA_000247815.2	chromosome 1:NC_021671.1/CM001988.1; chromosome 1A:NC_021672.1/CM001989.1; chromosome 2:NC_021673.1/CM001990.1; chromosome 3:NC_021674.1/CM001991.1; chromosome 4:NC_021675.1/CM001992.1; chromosome 4A:NC_021676.1/CM001993.1; chromosome 5:NC_021677.1/CM001994.1; chromosome 6:NC_021678.1/CM001995.1; chromosome 7:NC_021679.1/CM001996.1; chromosome 8:NC_021680.1/CM001997.1; chromosome 9:NC_021681.1/CM001998.1; chromosome 10:NC_021682.1/CM001999.1; chromosome 11:NC_021683.1/CM002000.1; chromosome 12:NC_021684.1/CM002001.1; chromosome 13:NC_021685.1/CM002002.1; chromosome 14:NC_021686.1/CM002003.1; chromosome 15:NC_021687.1/CM002004.1; chromosome 17:NC_021688.1/CM002005.1; chromosome 18:NC_021689.1/CM002006.1; chromosome 19:NC_021690.1/CM002007.1; chromosome 20:NC_021691.1/CM002008.1; chromosome 21:NC_021692.1/CM002009.1; chromosome 22:NC_021693.1/CM002010.1; chromosome 23:NC_021694.1/CM002011.1; chromosome 24:NC_021695.1/CM002012.1; chromosome 25:NC_021696.1/CM002013.1; chromosome 26:NC_021697.1/CM002014.1; chromosome 27:NC_021698.1/CM002015.1; chromosome 28:NC_021699.1/CM002016.1; chromosome Z:NC_021700.1/CM002017.1; linkage group LG34:NC_021701.1/CM002018.1; linkage group LG35:NC_021702.1/CM002019.1; linkage group LGE22:NC_021703.1/CM002020.1; mitochondrion MT:NC_021621.1/KF293721.1	AGTO02	21836	16785	26464	2012/11/30	2014/08/11	Chromosome	NCBI	SAMN02981387
